Year of Birth,Child's First Name
2011,GERALDINE
2011,GIA
2011,GIANNA
2011,GISELLE
2011,GRACE
2011,GUADALUPE
2011,HAILEY
2011,HALEY
2011,HANNAH
2011,HAYLEE
2011,HAYLEY
2011,HAZEL
2011,HEAVEN
2011,HEIDI
2011,HEIDY
2011,HELEN
2011,IMANI
2011,INGRID
2011,IRENE
2011,IRIS
2011,ISABEL
2011,ISABELA
2011,ISABELLA
2011,ISABELLE
2011,ISIS
2011,ITZEL
2011,IZABELLA
2011,JACQUELINE
2011,JADA
2011,JADE
2011,JAELYNN
2011,JAMIE
2011,JANELLE
2011,JASLENE
2011,JASMIN
2011,JASMINE
2011,JAYDA
2011,JAYLA
2011,JAYLAH
2011,JAYLEEN
2011,JAYLENE
2011,JAYLIN
2011,JAYLYN
2011,JAZLYN
2011,JAZMIN
2011,JAZMINE
2011,JENNIFER
2011,JESSICA
2011,JIMENA
2011,JOCELYN
2011,JOHANNA
2011,JOSELYN
2011,JULIA
2011,JULIANA
2011,JULIANNA
2011,JULIET
2011,JULIETTE
2011,JULISSA
2011,KAELYN
2011,KAILEY
2011,KAILYN
2011,KAITLYN
2011,KAMILA
2011,KAREN
2011,KARLA
2011,KATE
2011,KATELYN
2011,KATELYNN
2011,KATHERINE
2011,KATIE
2011,KAYLA
2011,KAYLEE
2011,KAYLEEN
2011,KAYLEIGH
2011,KAYLIE
2011,KAYLIN
2011,KEILY
2011,KELLY
2011,KEYLA
2011,KHLOE
2011,KIARA
2011,KIMBERLY
2011,KRYSTAL
2011,KYLEE
2011,KYLIE
2011,LAILA
2011,LAURA
2011,LAUREN
2011,LAYLA
2011,LEA
2011,LEAH
2011,LEILA
2011,LEILANI
2011,LESLEY
2011,LESLIE
2011,LESLY
2011,LEYLA
2011,LIA
2011,LIANA
2011,LILIANA
2011,LILY
2011,LINDSAY
2011,LIZBETH
2011,LONDON
2011,LUCIA
2011,LUNA
2011,LUZ
2011,MADELINE
2011,MADELYN
2011,MADISON
2011,MAKAYLA
2011,MARIA
2011,MARIAH
2011,MARIANA
2011,MARILYN
2011,MARISOL
2011,MAYA
2011,MEGAN
2011,MELANIE
2011,MELANY
2011,MELISSA
2011,MELODY
2011,MIA
2011,MIAH
2011,MICHELLE
2011,MIKAELA
2011,MIKAYLA
2011,MILA
2011,MILEY
2011,MIRANDA
